,Run,Sample Characteristic[cell line],Sample Characteristic Ontology Term[cell line],Sample Characteristic[disease],Sample Characteristic Ontology Term[disease],Sample Characteristic[organism],Sample Characteristic Ontology Term[organism],Factor Value[cell line],Factor Value Ontology Term[cell line],Factor Value[disease],Factor Value Ontology Term[disease],Analysed,organ
SNU-398,run_SNU_398.2,SNU-398,http://www.ebi.ac.uk/efo/EFO_0002347,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-398,http://www.ebi.ac.uk/efo/EFO_0002347,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Yes,liver
SNU-407,run_SNU_407.5,SNU-407,NA,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-407,NA,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
SNU-410,run_SNU_410.2,SNU-410,NA,pancreatic adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000044,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-410,NA,pancreatic adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000044,Yes,pancreas
SNU-423,run_SNU_423.1,SNU-423,http://www.ebi.ac.uk/efo/EFO_0002348,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-423,http://www.ebi.ac.uk/efo/EFO_0002348,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Yes,liver
SNU-449,run_SNU_449.2,SNU-449,http://www.ebi.ac.uk/efo/EFO_0002349,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-449,http://www.ebi.ac.uk/efo/EFO_0002349,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Yes,liver
SNU-466,run_SNU_466.2,SNU-466,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-466,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Yes,other
SNU-475,run_SNU_475.1,SNU-475,http://www.ebi.ac.uk/efo/EFO_0002350,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-475,http://www.ebi.ac.uk/efo/EFO_0002350,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Yes,liver
SNU-478,run_SNU_478.2,SNU-478,NA,ampulla of Vater adenocarcinoma,NA,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-478,NA,ampulla of Vater adenocarcinoma,NA,Yes,gallbladder
SNU-489,run_SNU_489.2,SNU-489,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-489,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Yes,other
SNU-5,run_SNU_5.2,SNU-5,http://www.ebi.ac.uk/efo/EFO_0002351,gastric carcinoma,http://www.ebi.ac.uk/efo/EFO_0000178,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-5,http://www.ebi.ac.uk/efo/EFO_0002351,gastric carcinoma,http://www.ebi.ac.uk/efo/EFO_0000178,Yes,other
SNU-503,run_SNU_503.2,SNU-503,NA,rectal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005631,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-503,NA,rectal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005631,Yes,other
SNU-520,run_SNU_520.2,SNU-520,NA,gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000503,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-520,NA,gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000503,Yes,other
SNU-601,run_SNU_601.2,SNU-601,http://www.ebi.ac.uk/efo/EFO_0006756,signet ring cell gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000524,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-601,http://www.ebi.ac.uk/efo/EFO_0006756,signet ring cell gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000524,Yes,other
SNU-61,run_SNU_61.2,SNU-61,NA,rectal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005631,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-61,NA,rectal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005631,Yes,other
SNU-620,run_SNU_620.2,SNU-620,http://www.ebi.ac.uk/efo/EFO_0006757,gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000503,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-620,http://www.ebi.ac.uk/efo/EFO_0006757,gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000503,Yes,other
SNU-626,run_SNU_626.2,SNU-626,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-626,NA,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Yes,other
SNU-668,run_SNU_668.2,SNU-668,http://www.ebi.ac.uk/efo/EFO_0006759,signet ring cell gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000524,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-668,http://www.ebi.ac.uk/efo/EFO_0006759,signet ring cell gastric adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000524,Yes,other
SNU-685,run_SNU_685.2,SNU-685,NA,uterine carcinosarcoma,http://www.ebi.ac.uk/efo/EFO_1000613,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-685,NA,uterine carcinosarcoma,http://www.ebi.ac.uk/efo/EFO_1000613,Yes,other
SNU-719,run_SNU_719.2,SNU-719,http://www.ebi.ac.uk/efo/EFO_0006760,gastric tubular adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000030,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-719,http://www.ebi.ac.uk/efo/EFO_0006760,gastric tubular adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000030,Yes,other
SNU-738,run_SNU_738.2,SNU-738,NA,oligodendroglioma,http://www.ebi.ac.uk/efo/EFO_0000632,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-738,NA,oligodendroglioma,http://www.ebi.ac.uk/efo/EFO_0000632,Yes,other
SNU-761,run_SNU_761.2,SNU-761,NA,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-761,NA,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Yes,liver
SNU-8,run_SNU_8.2,SNU-8,NA,ovarian serous cystadenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000043,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-8,NA,ovarian serous cystadenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000043,Yes,other
SNU-81,run_SNU_81.1,SNU-81,NA,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-81,NA,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
SNU-840,run_SNU_840.1,SNU-840,NA,malignant ovarian Brenner tumor,http://www.ebi.ac.uk/efo/EFO_1000357,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-840,NA,malignant ovarian Brenner tumor,http://www.ebi.ac.uk/efo/EFO_1000357,Yes,other
SNU-869,run_SNU_869.1,SNU-869,NA,ampulla of Vater adenocarcinoma,NA,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-869,NA,ampulla of Vater adenocarcinoma,NA,Yes,gallbladder
SNU-878,run_SNU_878.1,SNU-878,NA,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-878,NA,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Yes,liver
SNU-886,run_SNU_886.1,SNU-886,NA,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-886,NA,hepatocellular carcinoma,http://www.ebi.ac.uk/efo/EFO_0000182,Yes,liver
SNU-899,run_SNU_899.1,SNU-899,NA,laryngeal squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0006352,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-899,NA,laryngeal squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0006352,Yes,other
SNU-C1,run_SNU_C1.5,SNU-C1,http://www.ebi.ac.uk/efo/EFO_0006761,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-C1,http://www.ebi.ac.uk/efo/EFO_0006761,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
SNU-C2A,run_SNU_C2A.1,SNU-C2A,NA,cecum adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000020,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-C2A,NA,cecum adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000020,Yes,other
SNU-C4,run_SNU_C4.1,SNU-C4,NA,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-C4,NA,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
SNU-C5,run_SNU_C5.1,SNU-C5,NA,cecum adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000020,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SNU-C5,NA,cecum adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000020,Yes,other
SR-786,run_SR_786.1,SR-786,http://www.ebi.ac.uk/efo/EFO_0006491,anaplastic large cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0003032,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SR-786,http://www.ebi.ac.uk/efo/EFO_0006491,anaplastic large cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0003032,Yes,other
ST486,run_ST486.1,ST486,http://www.ebi.ac.uk/efo/EFO_0002353,Burkitts lymphoma,http://www.ebi.ac.uk/efo/EFO_0000309,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,ST486,http://www.ebi.ac.uk/efo/EFO_0002353,Burkitts lymphoma,http://www.ebi.ac.uk/efo/EFO_0000309,Yes,other
SU-DHL-1,run_SU_DHL_1.1,SU-DHL-1,http://www.ebi.ac.uk/efo/EFO_0005461,anaplastic large cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0003032,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SU-DHL-1,http://www.ebi.ac.uk/efo/EFO_0005461,anaplastic large cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0003032,Yes,other
SU-DHL-10,run_SU_DHL_10.1,SU-DHL-10,http://www.ebi.ac.uk/efo/EFO_0002354,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SU-DHL-10,http://www.ebi.ac.uk/efo/EFO_0002354,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Yes,other
SU-DHL-4,run_SU_DHL_4.1,SU-DHL-4,http://www.ebi.ac.uk/efo/EFO_0006492,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SU-DHL-4,http://www.ebi.ac.uk/efo/EFO_0006492,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Yes,other
SU-DHL-5,run_SU_DHL_5.1,SU-DHL-5,http://www.ebi.ac.uk/efo/EFO_0002356,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SU-DHL-5,http://www.ebi.ac.uk/efo/EFO_0002356,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Yes,other
SU-DHL-6,run_SU_DHL_6.1,SU-DHL-6,http://www.ebi.ac.uk/efo/EFO_0002357,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SU-DHL-6,http://www.ebi.ac.uk/efo/EFO_0002357,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Yes,other
SU-DHL-8,run_SU_DHL_8.1,SU-DHL-8,http://www.ebi.ac.uk/efo/EFO_0006493,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SU-DHL-8,http://www.ebi.ac.uk/efo/EFO_0006493,diffuse large B-cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0000403,Yes,other
SU.86.86,run_SU.86.86.1,SU.86.86,http://www.ebi.ac.uk/efo/EFO_0006494,pancreatic adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000044,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SU.86.86,http://www.ebi.ac.uk/efo/EFO_0006494,pancreatic adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000044,Yes,pancreas
SUIT-2,run_SUIT_2.1,SUIT-2,http://www.ebi.ac.uk/efo/EFO_0006495,pancreatic ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0002517,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SUIT-2,http://www.ebi.ac.uk/efo/EFO_0006495,pancreatic ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0002517,Yes,pancreas
SUP-B15,run_SUP_B15.1,SUP-B15,http://www.ebi.ac.uk/efo/EFO_0006763,childhood B acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001946,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SUP-B15,http://www.ebi.ac.uk/efo/EFO_0006763,childhood B acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001946,Yes,other
SUP-M2,run_SUP_M2.5,SUP-M2,NA,anaplastic large cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0003032,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SUP-M2,NA,anaplastic large cell lymphoma,http://www.ebi.ac.uk/efo/EFO_0003032,Yes,other
SUP-T1,run_SUP_T1.1,SUP-T1,NA,childhood T lymphoblastic lymphoma,http://www.ebi.ac.uk/efo/EFO_1001948,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SUP-T1,NA,childhood T lymphoblastic lymphoma,http://www.ebi.ac.uk/efo/EFO_1001948,Yes,other
SUP-T11,run_SUP_T11.1,SUP-T11,NA,adult T acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001936,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SUP-T11,NA,adult T acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001936,Yes,other
SW 1088,run_SW_1088.1,SW 1088,http://www.ebi.ac.uk/efo/EFO_0002358,astrocytoma,http://www.ebi.ac.uk/efo/EFO_0000272,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SW 1088,http://www.ebi.ac.uk/efo/EFO_0002358,astrocytoma,http://www.ebi.ac.uk/efo/EFO_0000272,Yes,other
SW 1271,run_SW_1271.1,SW 1271,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SW 1271,NA,small cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000702,Yes,other
SW 1353,run_SW_1353.1,SW 1353,http://www.ebi.ac.uk/efo/EFO_0002360,chondrosarcoma,http://www.ebi.ac.uk/efo/EFO_0000333,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SW 1353,http://www.ebi.ac.uk/efo/EFO_0002360,chondrosarcoma,http://www.ebi.ac.uk/efo/EFO_0000333,Yes,other
SW 1573,run_SW_1573.1,SW 1573,http://www.ebi.ac.uk/efo/EFO_0002363,bronchioloalveolar carcinoma,http://www.ebi.ac.uk/efo/EFO_1001941,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SW 1573,http://www.ebi.ac.uk/efo/EFO_0002363,bronchioloalveolar carcinoma,http://www.ebi.ac.uk/efo/EFO_1001941,Yes,other
SW 1783,run_SW_1783.1,SW 1783,http://www.ebi.ac.uk/efo/EFO_0002364,anaplastic astrocytoma,http://www.ebi.ac.uk/efo/EFO_0002499,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SW 1783,http://www.ebi.ac.uk/efo/EFO_0002364,anaplastic astrocytoma,http://www.ebi.ac.uk/efo/EFO_0002499,Yes,other
SW 1990,run_SW_1990.1,SW 1990,http://www.ebi.ac.uk/efo/EFO_0002365,pancreatic adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000044,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SW 1990,http://www.ebi.ac.uk/efo/EFO_0002365,pancreatic adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000044,Yes,pancreas
SW 780,run_SW_780.1,SW 780,http://www.ebi.ac.uk/efo/EFO_0002371,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SW 780,http://www.ebi.ac.uk/efo/EFO_0002371,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Yes,other
SW 900,run_SW_900.1,SW 900,http://www.ebi.ac.uk/efo/EFO_0002374,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SW 900,http://www.ebi.ac.uk/efo/EFO_0002374,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Yes,other
SW-1710,run_SW_1710.1,SW-1710,NA,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SW-1710,NA,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Yes,other
SW1116,run_SW1116.1,SW1116,http://www.ebi.ac.uk/efo/EFO_0002359,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SW1116,http://www.ebi.ac.uk/efo/EFO_0002359,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
SW1417,run_SW1417.1,SW1417,http://www.ebi.ac.uk/efo/EFO_0002361,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SW1417,http://www.ebi.ac.uk/efo/EFO_0002361,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
SW1463,run_SW1463.1,SW1463,http://www.ebi.ac.uk/efo/EFO_0002362,rectal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005631,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SW1463,http://www.ebi.ac.uk/efo/EFO_0002362,rectal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005631,Yes,other
SW403,run_SW403.1,SW403,http://www.ebi.ac.uk/efo/EFO_0002366,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SW403,http://www.ebi.ac.uk/efo/EFO_0002366,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
SW48,run_SW48.3,SW48,http://www.ebi.ac.uk/efo/EFO_0002367,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SW48,http://www.ebi.ac.uk/efo/EFO_0002367,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
SW480,run_SW480.1,SW480,http://www.ebi.ac.uk/efo/EFO_0002083,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SW480,http://www.ebi.ac.uk/efo/EFO_0002083,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
SW579,run_SW579.1,SW579,NA,thyroid gland squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000594,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SW579,NA,thyroid gland squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_1000594,Yes,other
SW620,run_SW620.5,SW620,http://www.ebi.ac.uk/efo/EFO_0002368,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SW620,http://www.ebi.ac.uk/efo/EFO_0002368,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
SW837,run_SW837.1,SW837,http://www.ebi.ac.uk/efo/EFO_0002372,rectal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005631,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SW837,http://www.ebi.ac.uk/efo/EFO_0002372,rectal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005631,Yes,other
SW948,run_SW948.5,SW948,http://www.ebi.ac.uk/efo/EFO_0002375,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,SW948,http://www.ebi.ac.uk/efo/EFO_0002375,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
Saos-2,run_Saos_2.2,Saos-2,NA,osteosarcoma,http://www.ebi.ac.uk/efo/EFO_0000637,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Saos-2,NA,osteosarcoma,http://www.ebi.ac.uk/efo/EFO_0000637,Yes,other
Set-2,run_Set_2.5,Set-2,http://www.ebi.ac.uk/efo/EFO_0006486,adult acute megakaryoblastic leukaemia,http://www.ebi.ac.uk/efo/EFO_1001932,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Set-2,http://www.ebi.ac.uk/efo/EFO_0006486,adult acute megakaryoblastic leukaemia,http://www.ebi.ac.uk/efo/EFO_1001932,Yes,other
Sq-1,run_Sq_1.1,Sq-1,NA,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,Sq-1,NA,squamous cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0000708,Yes,other
T-47D,run_T_47D.5,T-47D,http://www.ebi.ac.uk/efo/EFO_0001247,invasive ductal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000186,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,T-47D,http://www.ebi.ac.uk/efo/EFO_0001247,invasive ductal carcinoma,http://www.ebi.ac.uk/efo/EFO_0000186,Yes,brca
T.T,run_T.T.5,T.T,NA,esophageal squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0005922,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,T.T,NA,esophageal squamous cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0005922,Yes,other
T1-73,run_T1_73.1,T1-73,NA,osteosarcoma,http://www.ebi.ac.uk/efo/EFO_0000637,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,T1-73,NA,osteosarcoma,http://www.ebi.ac.uk/efo/EFO_0000637,Yes,other
T24,run_T24.1,T24,http://www.ebi.ac.uk/efo/EFO_0002864,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,T24,http://www.ebi.ac.uk/efo/EFO_0002864,bladder carcinoma,http://www.ebi.ac.uk/efo/EFO_0000292,Yes,other
T3M-10,run_T3M_10.1,T3M-10,NA,large cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003050,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,T3M-10,NA,large cell lung carcinoma,http://www.ebi.ac.uk/efo/EFO_0003050,Yes,other
T3M-4,run_T3M_4.5,T3M-4,NA,pancreatic ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0002517,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,T3M-4,NA,pancreatic ductal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0002517,Yes,pancreas
T84,run_T84.1,T84,http://www.ebi.ac.uk/efo/EFO_0002084,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,T84,http://www.ebi.ac.uk/efo/EFO_0002084,colon adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0000365,Yes,other
T98G,run_T98G.1,T98G,http://www.ebi.ac.uk/efo/EFO_0002085,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,T98G,http://www.ebi.ac.uk/efo/EFO_0002085,glioblastoma,http://www.ebi.ac.uk/efo/EFO_0000519,Yes,other
TALL-1,run_TALL_1.1,TALL-1,NA,childhood T acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001947,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,TALL-1,NA,childhood T acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_1001947,Yes,other
TC-71,run_TC_71.1,TC-71,http://www.ebi.ac.uk/efo/EFO_0002865,Ewing sarcoma,http://www.ebi.ac.uk/efo/EFO_0000174,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,TC-71,http://www.ebi.ac.uk/efo/EFO_0002865,Ewing sarcoma,http://www.ebi.ac.uk/efo/EFO_0000174,Yes,other
TCC-PAN2,run_TCC_PAN2.1,TCC-PAN2,http://www.ebi.ac.uk/efo/EFO_0006764,pancreatic adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000044,Homo sapiens,http://purl.obolibrary.org/obo/NCBITaxon_9606,TCC-PAN2,http://www.ebi.ac.uk/efo/EFO_0006764,pancreatic adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_1000044,Yes,pancreas
